mode,sample,label,level_numeric,n_reads_sub,n_reads_orig,n_sites_compared,r_shannon_profile,r_pi_profile,r_minor_af_spectrum,mean_shannon_sub,mean_shannon_orig,delta_mean_shannon,mean_pi_sub,mean_pi_orig,delta_mean_pi,mean_abs_diff_minor_af,n_variable_sites_orig_1pct,n_variable_sites_sub_1pct,variable_site_recall_1pct,variable_site_precision_1pct,n_variable_sites_orig_2pct,n_variable_sites_sub_2pct,variable_site_recall_2pct,variable_site_precision_2pct,n_variable_sites_orig_5pct,n_variable_sites_sub_5pct,variable_site_recall_5pct,variable_site_precision_5pct,n_variable_sites_orig_20pct,n_variable_sites_sub_20pct,variable_site_recall_20pct,variable_site_precision_20pct
percent,barcode34,1pct,1.0,157,16099,1210,0.9249952319137922,0.9454163690100594,0.9597546138312636,0.12097941154335573,0.11922594282502466,0.0017534687183310693,0.04104738223910105,0.03514743829318521,0.005899943945915843,0.008904813891811273,347,368,0.8126801152737753,0.7663043478260869,215,261,0.9162790697674419,0.7547892720306514,96,149,0.9270833333333334,0.5973154362416108,15,19,1.0,0.7894736842105263
percent,barcode34,20pct,20.0,3229,16099,1210,0.993495178423661,0.9966769013728101,0.9972393919868362,0.11418466099189427,0.11922594282502466,-0.005041281833130393,0.0338486355172625,0.03514743829318521,-0.0012988027759227097,0.0016399216506300693,347,339,0.9221902017291066,0.943952802359882,215,211,0.9627906976744186,0.981042654028436,96,97,0.96875,0.9587628865979382,15,15,1.0,1.0
percent,barcode34,2pct,2.0,336,16099,1210,0.9477043765044564,0.9620554376099671,0.9675735450282026,0.11542360915332762,0.11922594282502466,-0.0038023336716970363,0.03737315910799041,0.03514743829318521,0.002225720814805203,0.0058661077646837406,347,371,0.8587896253602305,0.8032345013477089,215,252,0.9441860465116279,0.8055555555555556,96,116,0.9479166666666666,0.7844827586206896,15,18,1.0,0.8333333333333334
percent,barcode34,40pct,40.0,6408,16099,1210,0.9974532164951887,0.9985701666721672,0.9990864448310587,0.11465438932127411,0.11922594282502466,-0.004571553503750547,0.033780718692238115,0.03514743829318521,-0.001366719600947093,0.0011532170481663028,347,339,0.9510086455331412,0.9734513274336283,215,205,0.9488372093023256,0.9951219512195122,96,93,0.9583333333333334,0.989247311827957,15,15,1.0,1.0
percent,barcode34,5pct,5.0,816,16099,1210,0.9782100269472855,0.9883314604048029,0.9920053667895735,0.11517414045371112,0.11922594282502466,-0.004051802371313543,0.035495809004613355,0.03514743829318521,0.0003483707114281462,0.0031776788992771113,347,366,0.8904899135446686,0.8442622950819673,215,230,0.958139534883721,0.8956521739130435,96,105,0.9270833333333334,0.8476190476190476,15,16,1.0,0.9375
percent,barcode35,0p5pct,0.5,139,26415,1126,0.8944108370635492,0.9320323346301953,0.9527861309141329,0.07077919692037207,0.09484346833733406,-0.02406427141696199,0.021923949000496115,0.026483002195412286,-0.00455905319491617,0.006273318410279843,231,214,0.683982683982684,0.7383177570093458,143,120,0.6713286713286714,0.8,62,40,0.5806451612903226,0.9,11,13,1.0,0.8461538461538461
percent,barcode35,10pct,10.0,2702,26415,1165,0.9888825027809892,0.9951099962318338,0.9970392565519824,0.09227586952474977,0.09418805545059854,-0.0019121859258487695,0.026086243558267577,0.026198423400935925,-0.00011217984266834874,0.001299497020940048,240,246,0.9458333333333333,0.9227642276422764,147,151,0.9795918367346939,0.9536423841059603,62,66,0.967741935483871,0.9090909090909091,11,11,1.0,1.0
percent,barcode35,1pct,1.0,270,26415,1157,0.9327315159499806,0.958884823462715,0.970220521722769,0.07497700923110594,0.09474520839297505,-0.019768199161869116,0.02218292253758535,0.026358104287625903,-0.004175181750040554,0.004679550260097796,240,235,0.7708333333333334,0.7872340425531915,147,117,0.7551020408163265,0.9487179487179487,62,39,0.5967741935483871,0.9487179487179487,11,11,0.9090909090909091,0.9090909090909091
percent,barcode35,20pct,20.0,5340,26415,1165,0.9937559750591178,0.9972500573921648,0.9984685301626495,0.09239626358910463,0.09418805545059854,-0.001791791861493905,0.025853216557522846,0.026198423400935925,-0.00034520684341307964,0.0009198469046672089,240,246,0.9583333333333334,0.9349593495934959,147,145,0.9659863945578231,0.9793103448275862,62,60,0.9193548387096774,0.95,11,11,1.0,1.0
percent,barcode35,2pct,2.0,536,26415,1165,0.9603492737383632,0.9772141902994811,0.9877962249164622,0.0858459690762753,0.09418805545059854,-0.008342086374323238,0.024829128354807124,0.026198423400935925,-0.0013692950461288017,0.003070930847159983,240,263,0.8583333333333333,0.7832699619771863,147,131,0.8571428571428571,0.9618320610687023,62,47,0.6935483870967742,0.9148936170212766,11,11,1.0,1.0
