mode,sample,label,level_numeric,n_reads,ref_len,n_sites_used,mean_depth,mean_shannon,mean_norm_shannon,mean_pi,n_variable_sites_1pct,n_variable_sites_2pct,n_variable_sites_5pct,n_variable_sites_20pct
percent,barcode62,10pct,10.0,3132,1206,1206,2561.912935323383,0.09278959050865399,0.008593841319051955,0.027151342756298418,236,141,36,26
percent,barcode62,1pct,1.0,318,1206,1206,260.74543946932005,0.09052012692820595,0.012444708393592869,0.028712489671104704,276,153,65,25
percent,barcode62,20pct,20.0,6049,1206,1206,4933.364842454394,0.09610937155990439,0.008284675209266484,0.027998555636515366,243,152,43,26
percent,barcode62,2pct,2.0,639,1206,1206,526.0480928689884,0.09447349514671087,0.011328345190887138,0.02911993211308631,263,159,59,25
percent,barcode62,40pct,40.0,12093,1206,1206,9856.695688225538,0.09563431703280506,0.007604917429050132,0.027714586838008193,241,143,40,25
percent,barcode62,5pct,5.0,1577,1206,1206,1288.7296849087893,0.08969282312351035,0.009170656995742722,0.026656710817040997,249,139,39,26
percent,barcode63,0p5pct,0.5,262,1160,1133,227.31862312444838,0.0519833907523198,0.006848662751203347,0.014336135268638419,151,52,16,5
percent,barcode63,10pct,10.0,5140,1160,1158,4388.727115716753,0.06454816864081095,0.005504794263835622,0.016149601442355183,159,84,14,5
percent,barcode63,1pct,1.0,523,1160,1158,442.3609671848014,0.05470785565986111,0.00655073594286355,0.014458137012577673,135,48,15,5
percent,barcode63,20pct,20.0,10184,1160,1158,8680.363557858376,0.06377792966367607,0.0050351588468328734,0.015772601804413852,149,73,13,5
percent,barcode63,2pct,2.0,1019,1160,1158,869.3402417962003,0.06201034130771615,0.006636388192186644,0.01601869420817613,168,77,16,5
percent,barcode63,40pct,40.0,20186,1160,1159,17218.213114754097,0.06344635081982838,0.004633556051189563,0.015594535631687988,141,70,13,5
percent,barcode63,5pct,5.0,2586,1160,1158,2200.5051813471505,0.0642523303862301,0.006038467955487011,0.01625517594651504,160,88,13,5
percent,barcode66,0p5pct,0.5,179,1153,1128,159.53900709219857,0.09125064406846575,0.012438840254067293,0.028717644989171277,324,152,60,18
percent,barcode66,10pct,10.0,3501,1153,1153,2963.7328707718993,0.10085660428321983,0.008807570046557188,0.029689406850912363,263,171,66,20
percent,barcode66,1pct,1.0,379,1153,1147,326.16652136006974,0.09486742168819655,0.011551766985210175,0.029152607579961517,272,171,63,20
percent,barcode66,20pct,20.0,7001,1153,1153,5926.405030355594,0.10146646298390657,0.008151115537681523,0.02981738744653764,262,171,67,20
percent,barcode66,2pct,2.0,679,1153,1153,580.6782307025152,0.102163518535859,0.011315762861844936,0.031150589154172164,282,187,73,20
percent,barcode66,40pct,40.0,14095,1153,1153,11903.756287944492,0.10173156779355876,0.007571407012056235,0.029788033270610532,259,168,66,20
percent,barcode66,5pct,5.0,1745,1153,1153,1474.323503902862,0.10392501799897894,0.009968952327809396,0.031014483670890446,283,183,72,20
percent,barcode67,0p5pct,0.5,137,1129,1128,119.88209219858156,0.1099999908493791,0.015903547275126106,0.03964653708735306,341,202,100,41
percent,barcode67,10pct,10.0,2645,1129,1129,2265.848538529672,0.11273271418866228,0.01013075220781115,0.03731642638823333,226,149,83,40
percent,barcode67,1pct,1.0,268,1129,1128,234.76507092198582,0.10610973706747451,0.013455280192891482,0.037040509325344056,288,158,83,45
percent,barcode67,20pct,20.0,5210,1129,1129,4462.162976085031,0.11441146456414561,0.00945233383389277,0.03766723032016253,221,153,84,41
percent,barcode67,2pct,2.0,505,1129,1128,439.0248226950355,0.10947429461794893,0.01246230993093976,0.037388509473098804,260,160,89,44
percent,barcode67,40pct,40.0,10269,1129,1129,8793.34278122232,0.11492746950166055,0.008783529013663832,0.03778166070454515,222,153,85,41
percent,barcode67,5pct,5.0,1306,1129,1128,1122.235815602837,0.11074306754547422,0.0109484481850507,0.036908854848962495,226,145,81,41
